plate_ID,Source Well,ASAP_batch_ID,Vol from stock nl
1530852-Y4-166,AA06,ASAP-0015430-001,200
1530852-Y4-166,AC06,ASAP-0015432-001,200
1530852-Y4-166,AD06,ASAP-0015433-001,200
1530852-Y4-166,E06,ASAP-0015439-001,200
1530852-Y4-166,H06,ASAP-0015442-001,200
1530852-Y4-166,P06,ASAP-0015450-001,200
1530852-Y4-166,Q06,ASAP-0015451-001,200
1530852-Y4-166,R06,ASAP-0015452-001,200
1530852-Y4-166,S06,ASAP-0015453-001,200
1530852-Y4-166,T06,ASAP-0015454-001,200
1530852-Y4-166,Y06,ASAP-0015459-001,200
1530852-Y4-166,Z06,ASAP-0015460-001,200
1530852-Y4-166,AA07,ASAP-0015462-001,200
1530852-Y4-166,AB07,ASAP-0015463-001,200
1530852-Y4-166,D07,ASAP-0015470-001,200
1530852-Y4-166,G07,ASAP-0015473-001,200
1530852-Y4-166,I07,ASAP-0015475-001,200
1530852-Y4-166,Q07,ASAP-0015483-001,200
1530852-Y4-166,X07,ASAP-0015490-001,200
1530852-Y4-166,G08,ASAP-0015499-001,200
1530852-Y4-170,AD05,ASAP-0015519-001,200
1530852-Y4-170,G06,ASAP-0015601-001,200
1530852-Y4-170,P06,ASAP-0015620-001,200
1530852-Y4-170,R06,ASAP-0015622-001,200
1530852-Y4-170,S06,ASAP-0015623-001,200
1530852-Y4-170,C07,ASAP-0015633-001,200
1530852-Y4-174,AD05,ASAP-0015714-001,200
1530852-Y4-174,I05,ASAP-0015665-001,200
1530852-Y4-174,O05,ASAP-0015682-001,200
1530852-Y4-174,AB06,ASAP-0015753-001,200
1530852-Y4-174,C06,ASAP-0015724-001,200
1530852-Y4-174,U06,ASAP-0015746-001,200
1530852-Y4-174,W06,ASAP-0015748-001,200
1530852-Y4-174,G07,ASAP-0015764-001,200
1530852-Y4-174,I07,ASAP-0015766-001,200
1530852-Y4-174,N07,ASAP-0015771-001,200
1530852-Y4-179,AD05,ASAP-0015785-001,200
1530852-Y4-179,Z05,ASAP-0015839-001,200
1530852-Y4-179,B06,ASAP-0015849-001,200
1530852-Y4-179,J06,ASAP-0015866-001,200
1530852-Y4-179,K06,ASAP-0015867-001,200
1530852-Y4-179,N06,ASAP-0015874-001,200
1530852-Y4-179,P06,ASAP-0015877-001,200
1530852-Y4-179,W06,ASAP-0015889-001,200
1530852-Y4-179,Z06,ASAP-0015892-001,200
1530852-Y4-183,A05,ASAP-0015898-001,200
1530852-Y4-183,AF05,ASAP-0015966-001,200
1530852-Y4-183,G05,ASAP-0015914-001,200
1530852-Y4-183,I05,ASAP-0015919-001,200
1530852-Y4-183,L05,ASAP-0015925-001,200
1530852-Y4-183,P05,ASAP-0015933-001,200
1530852-Y4-183,R05,ASAP-0015938-001,200
1530852-Y4-183,T05,ASAP-0015941-001,200
1530852-Y4-183,W05,ASAP-0015947-001,200
1530852-Y4-183,Z05,ASAP-0015953-001,200
1530852-Y4-187,AA05,ASAP-0016178-001,200
1530852-Y4-187,AB05,ASAP-0016180-001,200
1530852-Y4-187,AC05,ASAP-0016183-001,200
1530852-Y4-187,AE05,ASAP-0016188-001,200
1530852-Y4-187,B05,ASAP-0016102-001,200
1530852-Y4-187,D05,ASAP-0016109-001,200
1530852-Y4-187,F05,ASAP-0016115-001,200
1530852-Y4-187,G05,ASAP-0016117-001,200
1530852-Y4-187,H05,ASAP-0016121-001,200
1530852-Y4-187,I05,ASAP-0016124-001,200
1530852-Y4-187,J05,ASAP-0016127-001,200
1530852-Y4-187,K05,ASAP-0016128-001,200
1530852-Y4-187,L05,ASAP-0016132-001,200
1530852-Y4-187,M05,ASAP-0016134-001,200
1530852-Y4-187,N05,ASAP-0016137-001,200
1530852-Y4-187,P05,ASAP-0016144-001,200
1530852-Y4-187,S05,ASAP-0016154-001,200
1530852-Y4-187,T05,ASAP-0016155-001,200
1530852-Y4-187,U05,ASAP-0016160-001,200
1530852-Y4-187,Y05,ASAP-0016170-001,200
1530852-Y4-187,Z05,ASAP-0016173-001,200
1530852-Y4-187,AB06,ASAP-0016246-001,200
1530852-Y4-187,AD06,ASAP-0016250-001,200
1530852-Y4-187,AE06,ASAP-0016252-001,200
1530852-Y4-187,AF06,ASAP-0016254-001,200
1530852-Y4-187,B06,ASAP-0016194-001,200
1530852-Y4-187,C06,ASAP-0016196-001,200
1530852-Y4-187,F06,ASAP-0016202-001,200
1530852-Y4-187,G06,ASAP-0016203-001,200
1530852-Y4-187,H06,ASAP-0016205-001,200
1530852-Y4-187,L06,ASAP-0016213-001,200
1530852-Y4-187,O06,ASAP-0016220-001,200
1530852-Y4-187,P06,ASAP-0016222-001,200
1530852-Y4-187,Q06,ASAP-0016223-001,200
1530852-Y4-187,R06,ASAP-0016226-001,200
1530852-Y4-187,S06,ASAP-0016228-001,200
1530852-Y4-187,V06,ASAP-0016234-001,200
1530852-Y4-187,W06,ASAP-0016236-001,100
1530852-Y4-187,Y06,ASAP-0016240-001,200
1530852-Y4-187,Z06,ASAP-0016242-001,200
1530852-Y4-187,A07,ASAP-0016256-001,200
1530852-Y4-187,B07,ASAP-0016258-001,200
1530852-Y4-187,D07,ASAP-0016262-001,200
1530852-Y4-187,E07,ASAP-0016264-001,200
1530852-Y4-187,F07,ASAP-0016266-001,200
1530852-Y4-187,G07,ASAP-0016268-001,200
1530852-Y4-187,H07,ASAP-0016269-001,200
1530852-Y4-187,I07,ASAP-0016271-001,200
1530852-Y4-187,M07,ASAP-0016280-001,200
1530852-Y4-187,O07,ASAP-0016284-001,200
1530852-Y4-187,R07,ASAP-0016290-001,200
1530852-Y4-187,S07,ASAP-0016292-001,200
1530852-Y4-192,A05,ASAP-0016378-001,200
1530852-Y4-192,AA05,ASAP-0016379-001,200
1530852-Y4-192,AC05,ASAP-0016381-001,200
1530852-Y4-192,AD05,ASAP-0016382-001,200
1530852-Y4-192,AF05,ASAP-0016384-001,200
1530852-Y4-192,B05,ASAP-0016385-001,200
1530852-Y4-192,C05,ASAP-0016386-001,200
1530852-Y4-192,F05,ASAP-0016389-001,200
1530852-Y4-192,G05,ASAP-0016390-001,200
1530852-Y4-192,J05,ASAP-0016393-001,200
1530852-Y4-192,K05,ASAP-0016394-001,200
1530852-Y4-192,L05,ASAP-0016395-001,200
1530852-Y4-192,O05,ASAP-0016398-001,200
1530852-Y4-192,T05,ASAP-0016403-001,200
1530852-Y4-192,V05,ASAP-0016405-001,200
1530852-Y4-192,W05,ASAP-0016406-001,200
1530852-Y4-192,Z05,ASAP-0016409-001,200
1530852-Y4-192,A06,ASAP-0016410-001,200
1530852-Y4-192,B06,ASAP-0016411-001,200
1530852-Y4-192,E06,ASAP-0016414-001,200
1530852-Y4-192,G06,ASAP-0016416-001,200
1530852-Y4-192,I06,ASAP-0016418-001,200
1530852-Y4-192,J06,ASAP-0016419-001,200
1530852-Y4-192,K06,ASAP-0016420-001,200
1530852-Y4-192,N06,ASAP-0016423-001,200
1530852-Y4-192,O06,ASAP-0016424-001,200
1530852-Y4-192,P06,ASAP-0016425-001,200
1530852-Y4-192,Q06,ASAP-0016426-001,200
1530852-Y4-192,R06,ASAP-0016427-001,200
1530852-Y4-192,T06,ASAP-0016429-001,200
1530852-Y4-192,U06,ASAP-0016430-001,200
1530852-Y4-192,V06,ASAP-0016431-001,200
1530852-Y4-195,A05,ASAP-0016512-001,200
1530852-Y4-195,AA05,ASAP-0016538-001,200
1530852-Y4-195,B05,ASAP-0016513-001,200
1530852-Y4-195,D05,ASAP-0016515-001,200
1530852-Y4-195,E05,ASAP-0016516-001,200
1530852-Y4-195,F05,ASAP-0016517-001,200
1530852-Y4-195,G05,ASAP-0016518-001,100
1530852-Y4-195,H05,ASAP-0016519-001,200
1530852-Y4-195,K05,ASAP-0016522-001,200
1530852-Y4-195,N05,ASAP-0016525-001,200
1530852-Y4-195,O05,ASAP-0016526-001,200
1530852-Y4-195,S05,ASAP-0016530-001,200
1530852-Y4-195,T05,ASAP-0016531-001,200
1530852-Y4-195,W05,ASAP-0016534-001,200
1530852-Y4-195,X05,ASAP-0016535-001,200
1530852-Y4-195,Y05,ASAP-0016536-001,200
1530852-Y4-200,A05,ASAP-0016549-001,200
1530852-Y4-200,B05,ASAP-0016550-001,200
1530852-Y4-200,C05,ASAP-0016551-001,200
1530852-Y4-200,D05,ASAP-0016552-001,200
1530852-Y4-200,E05,ASAP-0016553-001,200
1530852-Y4-200,F05,ASAP-0016554-001,100
1530852-Y4-200,G05,ASAP-0016555-001,200
1530852-Y4-200,H05,ASAP-0016556-001,200
1530852-Y4-200,I05,ASAP-0016557-001,200
1530852-Y4-200,J05,ASAP-0016558-001,200
1530852-Y4-200,K05,ASAP-0016559-001,200
1530852-Y4-200,L05,ASAP-0016560-001,200
1530852-Y4-200,M05,ASAP-0016561-001,200
1530852-Y4-200,N05,ASAP-0016562-001,200
1530852-Y4-200,O05,ASAP-0016563-001,200
1530852-Y4-199,O05,ASAP-0016436-001,200
1530852-Y4-206,B05,ASAP-0016747-001,200
1530852-Y4-206,D05,ASAP-0016749-001,200
1530852-Y4-205,A05,ASAP-0016750-001,200
1530852-Y4-205,AA05,ASAP-0016751-001,200
1530852-Y4-205,AB05,ASAP-0016752-001,200
1530852-Y4-205,AC05,ASAP-0016753-001,200
1530852-Y4-205,AD05,ASAP-0016754-001,200
1530852-Y4-205,AE05,ASAP-0016755-001,200
1530852-Y4-205,AF05,ASAP-0016756-001,200
1530852-Y4-205,B05,ASAP-0016757-001,200
1530852-Y4-205,C05,ASAP-0016758-001,200
1530852-Y4-205,D05,ASAP-0016759-001,200
1530852-Y4-205,E05,ASAP-0016760-001,200
1530852-Y4-205,F05,ASAP-0016761-001,200
1530852-Y4-205,G05,ASAP-0016762-001,200
1530852-Y4-205,H05,ASAP-0016763-001,200
1530852-Y4-205,I05,ASAP-0016764-001,200
1530852-Y4-205,J05,ASAP-0016765-001,200
1530852-Y4-205,K05,ASAP-0016766-001,200
1530852-Y4-205,L05,ASAP-0016767-001,100
1530852-Y4-205,M05,ASAP-0016768-001,40
1530852-Y4-205,N05,ASAP-0016769-001,200
1530852-Y4-205,O05,ASAP-0016770-001,200
1530852-Y4-205,P05,ASAP-0016771-001,200
1530852-Y4-205,Q05,ASAP-0016772-001,200
1530852-Y4-205,R05,ASAP-0016773-001,200
1530852-Y4-205,S05,ASAP-0016774-001,200
1530852-Y4-205,T05,ASAP-0016775-001,70
1530852-Y4-205,U05,ASAP-0016776-001,100
1530852-Y4-205,V05,ASAP-0016777-001,200
1530852-Y4-205,W05,ASAP-0016778-001,150
1530852-Y4-205,X05,ASAP-0016779-001,200
1530852-Y4-205,Y05,ASAP-0016780-001,200
1530852-Y4-205,Z05,ASAP-0016781-001,200
1530852-Y4-205,A06,ASAP-0016782-001,200
1530852-Y4-205,B06,ASAP-0016783-001,200
1530852-Y4-205,C06,ASAP-0016784-001,200
1530852-Y4-205,D06,ASAP-0016785-001,200
1530852-Y4-205,E06,ASAP-0016786-001,200
1530852-Y4-205,F06,ASAP-0016787-001,200
1530852-Y4-205,G06,ASAP-0016788-001,200
1530852-Y4-205,H06,ASAP-0016789-001,200
1530852-Y4-205,I06,ASAP-0016790-001,200
1530852-Y4-205,J06,ASAP-0016791-001,200
1530852-Y4-205,K06,ASAP-0016792-001,200
1530852-Y4-205,L06,ASAP-0016793-001,100
1530852-Y4-205,M06,ASAP-0016794-001,100
1530852-Y4-205,N06,ASAP-0016795-001,200
1530852-Y4-205,O06,ASAP-0016796-001,200
1530852-Y4-205,P06,ASAP-0016797-001,200
1530852-Y4-205,Q06,ASAP-0016798-001,200
1530852-Y4-205,R06,ASAP-0016799-001,200
1530852-Y4-210,A05,ASAP-0016854-001,200
1530852-Y4-210,AA05,ASAP-0016836-001,100
1530852-Y4-210,AB05,ASAP-0016837-001,100
1530852-Y4-210,AC05,ASAP-0016851-001,200
1530852-Y4-210,B05,ASAP-0016856-001,200
1530852-Y4-210,C05,ASAP-0016829-001,30
1530852-Y4-210,D05,ASAP-0016813-001,200
1530852-Y4-210,E05,ASAP-0016841-001,200
1530852-Y4-210,F05,ASAP-0016807-001,200
1530852-Y4-210,G05,ASAP-0016860-001,200
1530852-Y4-210,H05,ASAP-0016808-001,200
1530852-Y4-210,I05,ASAP-0016822-001,200
1530852-Y4-210,J05,ASAP-0016814-001,200
1530852-Y4-210,K05,ASAP-0016815-001,200
1530852-Y4-210,L05,ASAP-0016825-001,200
1530852-Y4-210,M05,ASAP-0016806-001,40
1530852-Y4-210,N05,ASAP-0016833-001,200
1530852-Y4-210,O05,ASAP-0016858-001,200
1530852-Y4-210,P05,ASAP-0016849-001,200
1530852-Y4-210,Q05,ASAP-0016862-001,200
1530852-Y4-210,R05,ASAP-0016831-001,200
1530852-Y4-210,S05,ASAP-0016857-001,200
1530852-Y4-210,T05,ASAP-0016810-001,200
1530852-Y4-210,U05,ASAP-0016818-001,100
1530852-Y4-210,V05,ASAP-0016843-001,100
1530852-Y4-210,W05,ASAP-0016824-001,200
1530852-Y4-210,X05,ASAP-0016820-001,200
1530852-Y4-210,Y05,ASAP-0016855-001,200
1530852-Y4-210,Z05,ASAP-0016850-001,200
1530852-Y4-213,A05,ASAP-0016929-001,200
1530852-Y4-213,AA05,ASAP-0016943-001,200
1530852-Y4-213,AB05,ASAP-0016944-001,200
1530852-Y4-213,AC05,ASAP-0016907-001,50
1530852-Y4-213,AD05,ASAP-0016890-001,200
1530852-Y4-213,AE05,ASAP-0016895-001,200
1530852-Y4-213,AF05,ASAP-0016877-001,200
1530852-Y4-213,B05,ASAP-0016885-001,200
1530852-Y4-213,C05,ASAP-0016984-001,200
1530852-Y4-213,D05,ASAP-0016921-001,200
1530852-Y4-213,E05,ASAP-0016938-001,200
1530852-Y4-213,F05,ASAP-0016980-001,200
1530852-Y4-213,G05,ASAP-0017020-001,200
1530852-Y4-213,H05,ASAP-0016954-001,200
1530852-Y4-213,I05,ASAP-0017024-001,200
1530852-Y4-213,J05,ASAP-0016942-001,200
1530852-Y4-213,K05,ASAP-0016906-001,200
1530852-Y4-213,L05,ASAP-0016865-001,200
1530852-Y4-213,M05,ASAP-0016924-001,200
1530852-Y4-213,N05,ASAP-0016910-001,200
1530852-Y4-213,O05,ASAP-0016881-001,200
1530852-Y4-213,P05,ASAP-0016911-001,200
1530852-Y4-213,Q05,ASAP-0016957-001,200
1530852-Y4-213,R05,ASAP-0016870-001,200
1530852-Y4-213,S05,ASAP-0016935-001,200
1530852-Y4-213,T05,ASAP-0016883-001,200
1530852-Y4-213,U05,ASAP-0016968-001,100
1530852-Y4-213,V05,ASAP-0016912-001,200
1530852-Y4-213,W05,ASAP-0016925-001,200
1530852-Y4-213,X05,ASAP-0016869-001,200
1530852-Y4-213,Y05,ASAP-0016931-001,200
1530852-Y4-213,Z05,ASAP-0016962-001,200
1530852-Y4-213,A06,ASAP-0016928-001,200
1530852-Y4-213,AA06,ASAP-0017018-001,200
1530852-Y4-213,AB06,ASAP-0016977-001,200
1530852-Y4-213,AC06,ASAP-0016873-001,200
1530852-Y4-213,AD06,ASAP-0016972-001,200
1530852-Y4-213,AE06,ASAP-0016945-001,200
1530852-Y4-213,AF06,ASAP-0016918-001,200
1530852-Y4-213,B06,ASAP-0016953-001,200
1530852-Y4-213,C06,ASAP-0017021-001,200
1530852-Y4-213,D06,ASAP-0016985-001,200
1530852-Y4-213,E06,ASAP-0016998-001,100
1530852-Y4-213,F06,ASAP-0016919-001,200
1530852-Y4-213,G06,ASAP-0017008-001,50
1530852-Y4-213,H06,ASAP-0016949-001,200
1530852-Y4-213,I06,ASAP-0016950-001,200
1530852-Y4-213,J06,ASAP-0016888-001,200
1530852-Y4-213,K06,ASAP-0016900-001,50
1530852-Y4-213,L06,ASAP-0016927-001,200
1530852-Y4-213,M06,ASAP-0016960-001,200
1530852-Y4-213,N06,ASAP-0016967-001,200
1530852-Y4-213,O06,ASAP-0016886-001,200
1530852-Y4-213,P06,ASAP-0016893-001,30
1530852-Y4-213,Q06,ASAP-0016982-001,200
1530852-Y4-213,R06,ASAP-0016920-001,200
1530852-Y4-213,S06,ASAP-0016916-001,200
1530852-Y4-213,T06,ASAP-0016996-001,200
1530852-Y4-213,U06,ASAP-0016936-001,200
1530852-Y4-213,V06,ASAP-0016926-001,200
1530852-Y4-213,W06,ASAP-0017010-001,200
1530852-Y4-213,X06,ASAP-0016876-001,200
1530852-Y4-213,Y06,ASAP-0016986-001,200
1530852-Y4-213,Z06,ASAP-0016992-001,100
1530852-Y4-213,A07,ASAP-0016941-001,200
1530852-Y4-214,A05,ASAP-0016995-001,200
1530852-Y4-214,B05,ASAP-0016991-001,200
1530852-Y4-214,C05,ASAP-0016934-001,200
1530852-Y4-214,D05,ASAP-0016866-001,200
1530852-Y4-214,E05,ASAP-0017017-001,200
1530852-Y4-214,F05,ASAP-0016961-001,200
1530852-Y4-214,H05,ASAP-0016908-001,200
1530852-Y4-214,J05,ASAP-0016952-001,200
1530852-Y4-217,A05,ASAP-0017059-001,200
1530852-Y4-217,AA05,ASAP-0017060-001,200
1530852-Y4-217,AB05,ASAP-0017061-001,200
1530852-Y4-217,AC05,ASAP-0017062-001,200
1530852-Y4-217,AD05,ASAP-0017063-001,200
1530852-Y4-217,AE05,ASAP-0017064-001,200
1530852-Y4-217,AF05,ASAP-0017065-001,200
1530852-Y4-217,B05,ASAP-0017066-001,200
1530852-Y4-217,C05,ASAP-0017067-001,200
1530852-Y4-217,D05,ASAP-0017068-001,200
1530852-Y4-217,E05,ASAP-0017069-001,100
1530852-Y4-217,F05,ASAP-0017070-001,60
1530852-Y4-217,G05,ASAP-0017071-001,200
1530852-Y4-217,H05,ASAP-0017072-001,200
1530852-Y4-217,I05,ASAP-0017073-001,200
1530852-Y4-217,J05,ASAP-0017074-001,200
1530852-Y4-217,K05,ASAP-0017075-001,200
1530852-Y4-217,L05,ASAP-0017076-001,200
1530852-Y4-217,M05,ASAP-0017077-001,200
1530852-Y4-217,N05,ASAP-0017078-001,200
1530852-Y4-217,O05,ASAP-0017079-001,200
1530852-Y4-217,P05,ASAP-0017080-001,200
1530852-Y4-217,Q05,ASAP-0017081-001,200
1530852-Y4-217,R05,ASAP-0017082-001,200
1530852-Y4-217,S05,ASAP-0017083-001,200
1530852-Y4-217,T05,ASAP-0017084-001,200
1530852-Y4-217,U05,ASAP-0017085-001,200
1530852-Y4-217,V05,ASAP-0017086-001,200
1530852-Y4-217,W05,ASAP-0017087-001,200
1530852-Y4-217,X05,ASAP-0017088-001,200
1530852-Y4-217,Y05,ASAP-0017089-001,200
1530852-Y4-217,Z05,ASAP-0017090-001,200
1530852-Y4-217,A06,ASAP-0017091-001,50
1530852-Y4-217,AA06,ASAP-0017092-001,200
1530852-Y4-217,AB06,ASAP-0017093-001,200
1530852-Y4-217,AC06,ASAP-0017094-001,200
1530852-Y4-217,AD06,ASAP-0017095-001,200
1530852-Y4-217,AE06,ASAP-0017096-001,200
1530852-Y4-217,AF06,ASAP-0017097-001,200
1530852-Y4-217,B06,ASAP-0017098-001,200
1530852-Y4-217,C06,ASAP-0017099-001,200
1530852-Y4-217,D06,ASAP-0017100-001,200
1530852-Y4-217,E06,ASAP-0017101-001,200
1530852-Y4-217,F06,ASAP-0017102-001,200
1530852-Y4-217,G06,ASAP-0017103-001,200
1530852-Y4-217,H06,ASAP-0017104-001,200
1530852-Y4-217,I06,ASAP-0017105-001,200
1530852-Y4-217,J06,ASAP-0017106-001,200
1530852-Y4-217,K06,ASAP-0017107-001,200
1530852-Y4-217,L06,ASAP-0017108-001,200
1530852-Y4-217,M06,ASAP-0017109-001,200
1530852-Y4-217,N06,ASAP-0017110-001,200
1530852-Y4-217,O06,ASAP-0017111-001,200
1530852-Y4-217,P06,ASAP-0017112-001,200
1530852-Y4-217,Q06,ASAP-0017113-001,200
1530852-Y4-217,R06,ASAP-0017114-001,200
1530852-Y4-217,S06,ASAP-0017115-001,200
1530852-Y4-217,T06,ASAP-0017116-001,200
1530852-Y4-217,U06,ASAP-0017117-001,200
1530852-Y4-217,V06,ASAP-0017118-001,200
1530852-Y4-217,W06,ASAP-0017119-001,200
1530852-Y4-217,X06,ASAP-0017120-001,200
1530852-Y4-217,Y06,ASAP-0017121-001,200
1530852-Y4-217,Z06,ASAP-0017122-001,200
1530852-Y4-217,A07,ASAP-0017123-001,200
1530852-Y4-217,B07,ASAP-0017124-001,200
1530852-Y4-217,C07,ASAP-0017125-001,200
1530852-Y4-217,D07,ASAP-0017126-001,200
1530852-Y4-217,E07,ASAP-0017127-001,200
1530852-Y4-217,F07,ASAP-0017128-001,200
1530852-Y4-217,G07,ASAP-0017129-001,200
1530852-Y4-217,H07,ASAP-0017130-001,200
1530852-Y4-217,I07,ASAP-0017131-001,200
1530852-Y4-217,J07,ASAP-0017132-001,200
1530852-Y4-217,K07,ASAP-0017133-001,200
1530852-Y4-217,L07,ASAP-0017134-001,200
1530852-Y4-217,M07,ASAP-0017135-001,200
1530852-Y4-217,N07,ASAP-0017136-001,200
1530852-Y4-217,O07,ASAP-0017137-001,200
1530852-Y4-217,P07,ASAP-0017138-001,60
1530852-Y4-217,Q07,ASAP-0017139-001,200
1530852-Y4-217,R07,ASAP-0017140-001,200
1530852-Y4-217,S07,ASAP-0017141-001,200
1530852-Y4-217,T07,ASAP-0017142-001,100
1530852-Y4-217,U07,ASAP-0017143-001,200
1530852-Y4-217,V07,ASAP-0017144-001,200
1530852-Y4-217,W07,ASAP-0017145-001,200
1530852-Y4-217,X07,ASAP-0017146-001,200
1530852-Y4-217,Y07,ASAP-0017147-001,200
1530852-Y4-218,B05,ASAP-0017149-001,200
1530852-Y4-218,C05,ASAP-0017150-001,200
1530852-Y4-221,A05,ASAP-0017151-001,200
1530852-Y4-221,AA05,ASAP-0017177-001,200
1530852-Y4-221,AB05,ASAP-0017178-001,200
1530852-Y4-221,AC05,ASAP-0017179-001,200
1530852-Y4-221,AD05,ASAP-0017180-001,200
1530852-Y4-221,AE05,ASAP-0017181-001,200
1530852-Y4-221,AF05,ASAP-0017182-001,200
1530852-Y4-221,B05,ASAP-0017152-001,200
1530852-Y4-221,C05,ASAP-0017153-001,200
1530852-Y4-221,D05,ASAP-0017154-001,200
1530852-Y4-221,E05,ASAP-0017155-001,200
1530852-Y4-221,F05,ASAP-0017156-001,200
1530852-Y4-221,G05,ASAP-0017157-001,200
1530852-Y4-221,H05,ASAP-0017158-001,200
1530852-Y4-221,I05,ASAP-0017159-001,200
1530852-Y4-221,J05,ASAP-0017160-001,200
1530852-Y4-221,K05,ASAP-0017161-001,200
1530852-Y4-221,L05,ASAP-0017162-001,200
1530852-Y4-221,M05,ASAP-0017163-001,200
1530852-Y4-221,N05,ASAP-0017164-001,200
1530852-Y4-221,O05,ASAP-0017165-001,200
1530852-Y4-221,P05,ASAP-0017166-001,200
1530852-Y4-221,Q05,ASAP-0017167-001,200
1530852-Y4-221,R05,ASAP-0017168-001,200
1530852-Y4-221,S05,ASAP-0017169-001,200
1530852-Y4-221,T05,ASAP-0017170-001,200
1530852-Y4-221,U05,ASAP-0017171-001,200
1530852-Y4-221,V05,ASAP-0017172-001,200
1530852-Y4-221,W05,ASAP-0017173-001,200
1530852-Y4-221,X05,ASAP-0017174-001,200
1530852-Y4-221,Y05,ASAP-0017175-001,200
1530852-Y4-221,Z05,ASAP-0017176-001,200
1530852-Y4-221,A06,ASAP-0017183-001,200
1530852-Y4-221,AA06,ASAP-0017209-001,200
1530852-Y4-221,AB06,ASAP-0017210-001,200
1530852-Y4-221,AC06,ASAP-0017211-001,200
1530852-Y4-221,AD06,ASAP-0017212-001,200
1530852-Y4-221,AE06,ASAP-0017213-001,200
1530852-Y4-221,AF06,ASAP-0017214-001,200
1530852-Y4-221,B06,ASAP-0017184-001,200
1530852-Y4-221,C06,ASAP-0017185-001,200
1530852-Y4-221,D06,ASAP-0017186-001,200
1530852-Y4-221,E06,ASAP-0017187-001,200
1530852-Y4-221,F06,ASAP-0017188-001,200
1530852-Y4-221,G06,ASAP-0017189-001,200
1530852-Y4-221,H06,ASAP-0017190-001,200
1530852-Y4-221,I06,ASAP-0017191-001,200
1530852-Y4-221,J06,ASAP-0017192-001,200
1530852-Y4-221,K06,ASAP-0017193-001,200
1530852-Y4-221,L06,ASAP-0017194-001,200
1530852-Y4-221,M06,ASAP-0017195-001,200
1530852-Y4-221,N06,ASAP-0017196-001,200
1530852-Y4-221,O06,ASAP-0017197-001,200
1530852-Y4-221,P06,ASAP-0017198-001,200
1530852-Y4-221,Q06,ASAP-0017199-001,100
1530852-Y4-221,R06,ASAP-0017200-001,200
1530852-Y4-221,S06,ASAP-0017201-001,200
1530852-Y4-221,T06,ASAP-0017202-001,200
1530852-Y4-221,U06,ASAP-0017203-001,200
1530852-Y4-221,V06,ASAP-0017204-001,100
1530852-Y4-221,W06,ASAP-0017205-001,200
1530852-Y4-221,X06,ASAP-0017206-001,200
1530852-Y4-221,Y06,ASAP-0017207-001,200
1530852-Y4-221,Z06,ASAP-0017208-001,200
1530852-Y4-221,A07,ASAP-0017215-001,200
